Config,SLO_Rate_Mean,SLO_Rate_Std,SLO_Rate_CI95,Energy_Mean,Energy_Std,Energy_CI95,Latency_Mean,P99_Latency,Requests
slo10_rate0.6,78.4543,6.5161,4.6614,533.0160,18.7515,13.4140,8.1637,11.2664,36.5000
slo10_rate0.8,68.3693,5.1930,3.7149,564.6460,15.3774,11.0003,8.8445,12.0005,43.9000
slo11_rate0.6,86.4865,6.7286,4.8133,549.4602,11.6522,8.3355,8.6582,11.7112,36.6000
slo11_rate0.8,57.3597,13.3593,9.5567,565.2670,22.4909,16.0890,10.7491,16.6920,40.5000
slo11_rate1.0,15.2803,8.1667,5.8421,595.3994,32.4406,23.2066,17.2724,27.1303,46.9000
slo11_rate1.2,15.4489,7.6758,5.4909,565.7837,21.2064,15.1701,19.6890,29.6928,43.5000
slo12_rate0.6,99.7500,0.7906,0.5655,526.8257,20.9504,14.9870,8.4313,11.6291,34.0000
slo12_rate0.8,64.2971,23.5804,16.8684,532.2203,32.8568,23.5044,11.3372,17.5604,37.3000
slo12_rate1.0,22.2705,7.2927,5.2169,556.9608,9.9861,7.1436,17.7916,26.8738,39.7000
slo12_rate1.2,18.1844,5.7133,4.0870,663.3922,78.0043,55.8009,19.3670,31.9852,56.5000
slo13_rate0.8,44.4391,28.0788,20.0864,588.3454,46.1333,33.0018,14.4204,22.1537,42.8000
slo13_rate1.2,51.9059,5.5988,4.0051,705.9748,42.0462,30.0780,12.9606,19.7926,69.2000
