Config,SLO_Rate_Mean,SLO_Rate_Std,SLO_Rate_CI95,Energy_Mean,Energy_Std,Energy_CI95,Latency_Mean,P99_Latency,Requests
slo10_rate0.6,73.2024,9.8470,7.0441,550.2415,12.3307,8.8209,8.5463,11.3713,36.6000
slo10_rate0.8,68.9847,4.5903,3.2837,563.6657,8.0408,5.7520,8.8748,11.9975,45.4000
slo11_rate0.6,85.5211,3.5776,2.5593,552.5524,10.5138,7.5211,8.7732,11.6920,34.5000
slo11_rate0.8,46.0458,19.5810,14.0074,583.7930,35.0849,25.0982,11.3149,17.1393,45.9000
slo11_rate1.0,15.5542,15.1005,10.8022,593.8512,28.4435,20.3472,17.4490,26.5469,46.3000
slo11_rate1.2,9.8936,5.5080,3.9402,586.0626,32.0166,22.9033,21.5974,31.5884,47.4000
slo12_rate0.6,98.1180,2.5137,1.7982,558.0777,11.6128,8.3073,9.0012,11.9214,35.9000
slo12_rate0.8,40.2585,21.3895,15.3012,558.9702,8.0150,5.7336,13.4231,19.9192,37.7000
slo12_rate1.0,20.9131,9.6870,6.9296,558.4367,6.9049,4.9395,17.6170,26.5887,38.4000
slo12_rate1.2,13.4637,5.5846,3.9950,690.1743,76.3135,54.5914,20.8106,32.9169,58.0000
slo13_rate0.8,38.1161,15.8439,11.3341,575.2217,40.2972,28.8269,14.5648,21.8124,39.5000
slo13_rate1.2,54.3416,3.7380,2.6740,693.6762,56.2638,40.2487,12.8147,18.8535,61.7000
