Config,SLO_Rate_Mean,SLO_Rate_Std,SLO_Rate_CI95,Energy_Mean,Energy_Std,Energy_CI95,Latency_Mean,Latency_Std,P99_Latency,Total_Requests
slo10_rate0.6,63.1649,7.9899,5.7157,567.4091,27.8941,19.9543,9.3723,0.3917,12.8205,32.6000
slo10_rate0.8,50.0232,8.9533,6.4048,602.4946,11.8376,8.4681,10.0341,0.4377,13.2670,45.9000
slo11_rate0.6,75.7240,9.7442,6.9706,557.4733,44.8342,32.0724,9.1088,0.9418,12.5138,32.9000
slo11_rate0.8,63.6535,6.1500,4.3994,602.7277,7.4118,5.3021,9.9945,0.2773,13.2752,43.7000
slo11_rate1.0,62.0859,4.6817,3.3491,608.3698,17.6073,12.5955,10.1089,0.3872,13.5619,56.9000
slo11_rate1.2,56.0381,7.3918,5.2877,641.4523,32.3834,23.1657,10.5645,0.3550,14.5061,70.8000
slo12_rate0.6,87.7100,9.3958,6.7214,574.3592,27.3229,19.5456,9.3717,0.6782,12.8036,33.9000
slo12_rate0.8,80.0788,7.3912,5.2873,596.5679,16.2284,11.6091,9.8782,0.4531,13.1809,46.5000
slo12_rate1.0,75.1920,4.4330,3.1711,615.9144,15.6508,11.1959,10.1978,0.2780,13.5880,57.9000
slo12_rate1.2,71.7293,4.6815,3.3489,634.5148,25.3923,18.1646,10.3769,0.3491,14.1232,68.0000
slo13_rate0.8,91.4927,4.1423,2.9632,598.8089,16.5824,11.8624,10.0311,0.3230,13.2998,45.5000
slo13_rate1.2,89.6836,5.5581,3.9760,630.0871,21.3544,15.2760,10.2343,0.2776,13.9529,67.5000
