Config,SLO_Rate_Mean,SLO_Rate_Std,SLO_Rate_CI95,Energy_Mean,Energy_Std,Energy_CI95,Latency_Mean,Latency_Std,P99_Latency,Total_Requests
slo10_rate0.6,54.1405,10.3882,7.4313,578.1373,20.4889,14.6569,9.8001,0.4544,13.1048,32.8000
slo10_rate0.8,54.1608,9.1980,6.5799,594.6708,11.8447,8.4732,9.7864,0.3666,13.1806,40.2000
slo11_rate0.6,71.4875,6.8118,4.8729,585.4376,13.8788,9.9283,9.5132,0.3596,12.8419,30.8000
slo11_rate0.8,66.1944,10.1826,7.2842,596.3587,11.1853,8.0015,9.9124,0.3447,13.3327,43.6000
slo11_rate1.0,60.6542,5.2102,3.7271,623.3334,22.5423,16.1258,10.3008,0.1470,13.8420,53.7000
slo11_rate1.2,55.3959,6.3774,4.5621,649.8019,28.1592,20.1439,10.6189,0.3312,14.6807,74.1000
slo12_rate0.6,78.2495,8.3361,5.9633,585.2662,14.6961,10.5130,9.9221,0.2788,13.1577,35.1000
slo12_rate0.8,79.4010,4.5878,3.2819,596.9690,17.8499,12.7691,10.0714,0.2293,13.3794,44.7000
slo12_rate1.0,80.9852,3.6248,2.5930,605.8282,19.3033,13.8087,9.9012,0.3612,13.4796,55.7000
slo12_rate1.2,76.2598,4.2388,3.0322,623.5920,19.4956,13.9463,10.2615,0.2923,14.0238,66.1000
slo13_rate0.8,95.9420,3.2405,2.3181,593.8455,12.0981,8.6545,9.7553,0.3331,13.1510,40.9000
slo13_rate1.2,87.3531,5.4292,3.8838,638.7767,29.9969,21.4585,10.5033,0.3316,13.9970,69.2000
